2020-05-11 00:47:46.601 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,70] - 靠到底是什么类型:multipart/form-data; boundary=--------------------------495906451092202791444473
2020-05-11 00:47:46.602 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [parseBodyInfo,341] - ----------------------------495906451092202791444473Content-Disposition: form-data; name="name"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------495906451092202791444473Content-Disposition: form-data; name="sex"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------495906451092202791444473Content-Disposition: form-data; name="height"12345----------------------------495906451092202791444473--
2020-05-11 00:47:46.602 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,73] - 排序之后的字符串:[Ljava.lang.String;@7d1b9102
2020-05-11 00:47:46.602 [,] [reactor-http-nio-3] INFO  c.g.u.f.HmacCheckFilter - [lambda$filter$1,78] - ----------------------------495906451092202791444473
Content-Disposition: form-data; name="name"

public class AuthGlobalFilter implements GlobalFilter, Ordered
----------------------------495906451092202791444473
Content-Disposition: form-data; name="sex"

public class AuthGlobalFilter implements GlobalFilter, Ordered
----------------------------495906451092202791444473
Content-Disposition: form-data; name="height"

12345
----------------------------495906451092202791444473--

2020-05-11 00:47:46.604 [,] [reactor-http-nio-3] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:47:46.637 [,] [reactor-http-nio-4] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:51:07.141 [,] [main] INFO  c.g.DemoGatewayApplication - [logStartupProfileInfo,655] - The following profiles are active: api,db
2020-05-11 00:51:09.326 [,] [main] INFO  o.h.j.i.u.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-11 00:51:09.469 [,] [main] INFO  o.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-11 00:51:09.808 [,] [main] INFO  o.h.a.common.Version - [<clinit>,49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-11 00:51:10.244 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
2020-05-11 00:51:12.710 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
