2020-05-19 15:39:22.753 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,87] - 网关--request-Path:/hello
2020-05-19 15:39:22.754 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,88] - 网关--response-code:500 INTERNAL_SERVER_ERROR
2020-05-19 15:39:22.754 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,92] - GET
2020-05-19 15:42:43.209 [,] [main] INFO  c.g.DemoGatewayApplication - [logStartupProfileInfo,655] - The following profiles are active: api,db
2020-05-19 15:42:46.433 [,] [main] INFO  o.h.j.i.u.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-19 15:42:46.557 [,] [main] INFO  o.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-19 15:42:46.777 [,] [main] INFO  o.h.a.common.Version - [<clinit>,49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-19 15:42:47.791 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
2020-05-19 15:42:51.208 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
2020-05-19 15:42:51.276 [,] [main] INFO  o.h.dialect.Dialect - [<init>,172] - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2020-05-19 15:42:54.444 [,] [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - [initiateService,52] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-05-19 15:42:55.580 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 15:42:55.589 [,] [main] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-19 15:43:03.593 [,] [main] INFO  c.g.DemoGatewayApplication - [logStarted,61] - Started DemoGatewayApplication in 25.022 seconds (JVM running for 26.151)
2020-05-19 15:43:09.362 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,87] - 网关--request-Path:/hello
2020-05-19 15:43:09.365 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,88] - 网关--response-code:200 OK
2020-05-19 15:43:09.366 [,] [reactor-http-nio-2] INFO  c.g.u.f.PowerCheckFilter - [filter,92] - GET
2020-05-19 15:45:28.305 [,] [main] INFO  c.g.DemoGatewayApplication - [logStartupProfileInfo,655] - The following profiles are active: api,db
2020-05-19 15:45:31.156 [,] [main] INFO  o.h.j.i.u.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-19 15:45:31.300 [,] [main] INFO  o.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-19 15:45:31.518 [,] [main] INFO  o.h.a.common.Version - [<clinit>,49] - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-19 15:45:32.784 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
2020-05-19 15:45:35.441 [,] [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
